"","source_id","Target","new_id","link","pubdate","source","tweet","post_method","user_statuses","user_following","user_followers","user_created_at","user_bio","user_location","lang","Person or source","News_Source","City","Province","Country","CBC","TweetToCBC","TweetToNOTCBC","mean(TweetToCBC)"
"152",109,"heartlandoncbc",69676,"https://twitter.com/03monkey10Adam/statuses/910299267163738112",2017-09-19 21:27:00,"03monkey10adam","rt @heartlandoncbc: here you go fans. lots more of this come sunday when season  premieres at ;pm on @cbc                                                 #iloveheartland @graham ","Twitter for Android",9772,50,107,"Thu Apr 26 23:29:23 +0000 2012","trucker,father of ! my wife is my best friend.nascar rules! fast and furious best movie franchise!","strathroy, ont. canada.","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"195",132,"heartlandoncbc",68380,"https://twitter.com/15letirosas/statuses/910239637762904065",2017-09-19 17:30:00,"15letirosas","rt @heartlandoncbc: here you go fans. lots more of this come sunday when season  premieres at ;pm on @cbc                                                 #iloveheartland @graham ","Twitter for Android",1277,1459,113,"Tue Sep 25 01:22:05 +0000 2012","amante de la vida.. #flores  #profesora de educación primaria.","tabasco, méxico","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"198",134,"cbc",67356,"https://twitter.com/1776RealNews/statuses/910197758841192448",2017-09-19 14:43:00,"1776realnews","@gavin_mcinnes @bbc @cbc this is also why they need to control the news. well done @gavin_mcinnes   https://t.co/acqqxmyudg","Twitter Web Client",11283,6507,6004,"Tue Feb 21 02:03:17 +0000 2017","the fraternal order of altknights #foak  freedom of speech   fight the globalist occupation of america  #poyb #fraternalorderofaltknights #proudboys #magamilitia","michigan, usa","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"208",140,"cbc",36627,"https://twitter.com/1990Lax/statuses/910320615105728512",2017-09-19 22:52:00,"1990lax","rt @cbcnews: minister carolyn bennett urges conservatives to kick lynn beyak out of caucus https://t.co/mnwnernqfh #cdnpoli https://t.co/ys ","Twitter for Android",2930,70,42,"Thu Jul 31 04:16:25 +0000 2014",NA,NA,"en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"247",154,"cbc",31653,"https://twitter.com/1of16kids/statuses/910294804894019584",2017-09-19 21:09:00,"1of16kids","rt @cbcns: public encouraged to attend funeral procession for rcmp const. francis deschênes wednesday in moncton https://t.co/hqpsynhom ht ","Twitter Web Client",2555,261,96,"Sat Oct 24 11:05:57 +0000 2015","husband, dad of , grampy of ; church musician/worship leader, amateur photographer.",NA,"en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"266",166,"cbc",67011,"https://twitter.com/21ThunderShow/statuses/910187224200810498",2017-09-19 14:01:00,"21thundershow","hey canada! stream the season one finale of #thunder ""rock and a hard place"", for free on @cbc!  https://t.co/cwkamimap","TweetDeck",619,658,570,"Thu Nov 03 15:07:36 +0000 2016"," thunder is a story of love, crime, race, sex and athletic glory. coming to @cbc summer .","montréal, québec","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"267",166,"cbc",62256,"https://twitter.com/21ThunderShow/statuses/909874592151457793",2017-09-18 17:19:00,"21thundershow","why so serious junior? find out what\'s up on the season finale of #thunder tonight at /:nt on @cbc! https://t.co/sfntggxj","TweetDeck",617,658,578,"Thu Nov 03 15:07:36 +0000 2016"," thunder is a story of love, crime, race, sex and athletic glory. coming to @cbc summer .","montréal, québec","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"295",187,"cbc",63257,"https://twitter.com/342Monkey/statuses/909911305745719296",2017-09-18 19:45:00,"342monkey","@vkgoundar @cbc funny","Twitter for iPhone",10847,631,267,"Fri Feb 17 21:43:11 +0000 2012","my dishwasher needs a new seal, kitchen faucet leaks and i may need a new \'front door\'. zoltar, i wish i was small!","edmonton","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"296",187,"cbc",63267,"https://twitter.com/342Monkey/statuses/909910909157437440",2017-09-18 19:44:00,"342monkey","@vkgoundar https://t.co/tiogbafv@cbc","Twitter for iPhone",10847,631,267,"Fri Feb 17 21:43:11 +0000 2012","my dishwasher needs a new seal, kitchen faucet leaks and i may need a new \'front door\'. zoltar, i wish i was small!","edmonton","und","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"311",197,"cbc",85901,"https://twitter.com/41mikes/statuses/909840919976927232",2017-09-18 15:05:00,"41mikes","rt @auntykita: .@cbcsask &amp; @leaderpost gave more platform to anti-political correctness dude gad saad\'s talk this. crickets when it comes t ","Twitter for iPhone",6491,1768,1220,"Sat Jan 12 05:04:45 +0000 2013","father, husband, hiker, anti-racist/anti-oppressive/teacher educator.","treaty  land - regina, sk","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"312",198,"cbc",69319,"https://twitter.com/42_maria_aledo/statuses/910281167953264645",2017-09-19 20:15:00,"42_maria_aledo","rt @justforlaughs: tonight!                                     don\'t miss @jessicakirson on @rickmercer: raise a little hell on @cbc at :pm! https://t.co/pbejuaifgk","Twitter for Android",1131,2284,54,"Wed Dec 07 19:57:43 +0000 2011","dicen que lo bueno se hace esperar, pero yo ya me canse de esperar.\'unos se van y otros vienen.\'","si bemol.","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"333",211,"cbc",69867,"https://twitter.com/4everleaffan/statuses/910306484977881088",2017-09-19 21:55:00,"4everleaffan","rt @quotethisproj: congrats @tblachance rt &amp; follow &amp; download our free app for your chances next week.  #torontomapleleafs @cbc #toronto @ ","Twitter for iPhone",56016,1428,2241,"Thu Nov 27 02:11:35 +0000 2014","die hard leaf fan for over  years and i bleed blue and white till i die win or lose please no bashing of my leafs or fans #ourmoment #standwitness","air canada centre","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"334",211,"cbc",69862,"https://twitter.com/4everleaffan/statuses/910306542511108096",2017-09-19 21:56:00,"4everleaffan","@quotethisproj @tblachance @cbc @tsn_sports congrats","Twitter for iPhone",56016,1428,2241,"Thu Nov 27 02:11:35 +0000 2014","die hard leaf fan for over  years and i bleed blue and white till i die win or lose please no bashing of my leafs or fans #ourmoment #standwitness","air canada centre","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"339",215,"cbc",3865,"https://twitter.com/4got/statuses/910143089196576768",2017-09-19 11:06:00,"4got","rt @journo_dale: #cbcnn just cut away from trudeau to cover trump. slow clap.","Mobile Web (M2)",53720,1883,1764,"Sat Jan 31 11:56:57 +0000 2009","i mostly retweet unless i get really pissed off ;-)","ontario, canada","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"354",221,"cbc",68827,"https://twitter.com/514Ostrich/statuses/910259688008306688",2017-09-19 18:49:00,"514ostrich","rt @arthursimeon: canada!! tune in to @cbc tonight at pm to watch my set at the @justforlaughs gala hosted by @rickmercer!! i https://t.co ","Twitter for iPhone",1389,306,462,"Wed Jan 18 03:37:36 +0000 2012","founder and curator of @percentmtl & regular delinquent at @stereomtl","montreal, canada","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"372",229,"cbc",63115,"https://twitter.com/5HMyFlashlight/statuses/909909192743489536",2017-09-18 19:37:00,"5hmyflashlight","rt @katbarrell: i\'m distracting her from her process @workinmoms @cbc #cbccomedy #babydrama #suchadiva #workinmoms https://t.co/ixlpvxwn","Twitter Web Client",255789,499,3866,"Mon Aug 17 13:09:39 +0000 2015","he/him  little mix, ccabello y wynonna earp el resto es irrelevante|| fanboy || ""michael eklund liked""x m goals                                       dm\'s abiertos para consejo y ayuda lg[tb]","# song like you stan","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"373",229,"cbc",63118,"https://twitter.com/5HMyFlashlight/statuses/909909149055639553",2017-09-18 19:37:00,"5hmyflashlight","rt @katbarrell: @workinmoms #alicia&amp;mabel @cbccomedy @cbc https://t.co/njyzlfun","Twitter Web Client",255789,499,3866,"Mon Aug 17 13:09:39 +0000 2015","he/him  little mix, ccabello y wynonna earp el resto es irrelevante|| fanboy || ""michael eklund liked""x m goals                                       dm\'s abiertos para consejo y ayuda lg[tb]","# song like you stan","cy","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"385",240,"icbc",97742,"https://twitter.com/620dacbad9ef4ff/statuses/909862463776149506",2017-09-18 16:31:00,"620dacbad9ef4ff","rt @vojtechgibis: nejv t í banka sv ta,  ínská icbc, je na  erné listin  usa. zeman ji táhne do nákupu vítkovic https://t.co/kvzpkzwpq htt ","Twitter for Android",700,39,18,"Tue Mar 10 11:29:24 +0000 2015",NA,NA,"cs","source","CBC","Quebec","Quebec","Canada","CBC",1,0,1
"435",245,"cbc",69489,"https://twitter.com/68kmg1/statuses/910286932630032384",2017-09-19 20:38:00,"68kmg1","@mrd_on_cbc @cbc love mr d !!!! bring  season  !!!","Twitter Web Client",7,78,7,"Sat Oct 04 00:15:27 +0000 2014",NA,NA,"en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"465",262,"cbc",61854,"https://twitter.com/786Socialite/statuses/909859579516813314",2017-09-18 16:20:00,"786socialite","#goodbyesummer party @cbc @huffingtonpost @torontostar @ctvnews @bbcnews #ismaili https://t.co/hvhzkhtyy https://t.co/nqfjvoi","Buffer",1511,878,299,"Mon Mar 21 01:07:04 +0000 2016","it\'s planet lonely we want to make it planet friendly!",NA,"en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"466",262,"cbc",72270,"https://twitter.com/786Socialite/statuses/909859579516813314",2017-09-18 16:20:00,"786socialite","#goodbyesummer party @cbc @huffingtonpost @torontostar @ctvnews @bbcnews #ismaili https://t.co/hvhzkhtyy https://t.co/nqfjvoi","Buffer",1511,878,299,"Mon Mar 21 01:07:04 +0000 2016","it\'s planet lonely we want to make it planet friendly!",NA,"en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"476",266,"cbc",61378,"https://twitter.com/7th_man_network/statuses/909840445194215424",2017-09-18 15:04:00,"7th_man_network","@theandybabic watching @cbc saturday nights!!!!","Twitter Web Client",2155,1230,170,"Fri Jul 07 21:35:58 +0000 2017","the th man network is here to celebrate the fans of the nhl and hockey, as well, follow the nhl and hockey from the fans perspective, the way only fans can do.","edmonton, alberta","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"477",266,"cbc",61614,"https://twitter.com/7th_man_network/statuses/909847634776530946",2017-09-18 15:32:00,"7th_man_network","@theandybabic @cbc             i just made myself feel old. like, ""back in my day hockey sticks were actually made of wood!!!  https://t.co/hcjoxugqm","Twitter Web Client",2161,1231,173,"Fri Jul 07 21:35:58 +0000 2017","the th man network is here to celebrate the fans of the nhl and hockey, as well, follow the nhl and hockey from the fans perspective, the way only fans can do.","edmonton, alberta","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"478",266,"cbc",61337,"https://twitter.com/7th_man_network/statuses/909841365835513856",2017-09-18 15:07:00,"7th_man_network","@theandybabic @cbc millennials, might not get it..............  ","Twitter Web Client",2155,1230,170,"Fri Jul 07 21:35:58 +0000 2017","the th man network is here to celebrate the fans of the nhl and hockey, as well, follow the nhl and hockey from the fans perspective, the way only fans can do.","edmonton, alberta","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"549",308,"cbc",5322,"https://twitter.com/a_random_girl3/statuses/910150868015751168",2017-09-19 11:37:00,"a_random_girl3","rt @cbcalerts: trudeau sidesteps question about trump\'s threat to destroy north korea, says he\'s looking forward to seeing the president\'s ","Twitter for Android",19,26,2,"Wed Sep 06 11:38:35 +0000 2017","student, blogger, lover of music, aspiring journalist",NA,"en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"553",312,"cbc",67117,"https://twitter.com/A_Zargari_O/statuses/910190592612880384",2017-09-19 14:15:00,"a_zargari_o","rt @cbc: ahoy! how much pirate do you know? take this quiz to find out https://t.co/ltalfouxl #talklikeapirateday https://t.co/eleqqbee","Twitter Web Client",3530,315,98,"Wed Apr 24 19:50:44 +0000 2013","i worked as a creative/technical director in iran broadcasting. i talk about television production, arts, aesthetics.  i love you canada","canada","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"555",314,"cbc",59219,"https://twitter.com/A1l1g1p1/statuses/909975597056630784",2017-09-19 00:01:00,"a1l1g1p1","rt @cbcnewsbc: rcmp investigation targets fentanyl shipments from china https://t.co/jnmirzs https://t.co/ytkahttd","Twitter for Android",36619,1353,296,"Fri May 01 19:09:57 +0000 2009",NA,"washington, usa","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"556",315,"cbc",64136,"https://twitter.com/A22523/statuses/909944751729737729",2017-09-18 21:58:00,"a22523","international coalition forces shelled al shamti mosque in al jamili neighborhood in raqqa https://t.co/mjmgdsq @jesscnn @fulelo @cbc","Twitter Web Client",160379,2248,2123,"Fri Feb 04 07:49:53 +0000 2011","catholic chinese-american human rights activist. rt&follow =/= endorsement. all opinions are my own.  #equality #loveislove #civilrights #freedomforall","usa..","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"580",332,"cbc",46408,"https://twitter.com/abc2017mtl/statuses/909862321706717184",2017-09-18 16:30:00,"abc2017mtl","rt quebecissues ""what happened to this case? https://t.co/dbeklcultg #sq, #amf, #rcmp, #cbc, #ctv, #montreal""","IFTTT",49375,1009,1223,"Wed Aug 07 02:31:12 +0000 2013","#montreal needs a new mayor in # - join the #abc movement - anyone but coderre - #mtl deserves better ! (https://t.co/ylshshscc)","montréal, québec","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"600",347,"cbc",36230,"https://twitter.com/abinormalish/statuses/910315272199950341",2017-09-19 22:30:00,"abinormalish","rt @cbcnews: minister carolyn bennett urges conservatives to kick lynn beyak out of caucus https://t.co/mnwnernqfh #cdnpoli https://t.co/ys ","Twitter for iPhone",26618,318,198,"Tue Dec 09 04:31:31 +0000 2014","the editor at @arcsismedia with the super villain hair. i sure do exist.",NA,"en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"601",348,"cbc",42854,"https://twitter.com/Abitob/statuses/909839542336843776",2017-09-18 15:00:00,"abitob","rt @cbcpolitics: trudeau says canada will respect eu rules around trade talks with uk, but says ceta way forward post-brexit. live: https:/ ","Twitter for Android",58814,131,357,"Mon May 11 21:33:46 +0000 2009","dark, tall and witty! i inspire excellence. that man your dreams paint yet reality fakes. i am ci!","sheffield","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"602",349,"cbc",39702,"https://twitter.com/abjust58/statuses/910335605879349248",2017-09-19 23:51:00,"abjust58","rt @stephen_taylor: hey cbc, ""tax fairness agenda""... trudeau\'s words or yours? or same thing? https://t.co/cmkkdsson","Twitter for iPhone",7308,36,34,"Sat Jun 04 21:25:53 +0000 2016","i love sports and politics and waiting for honest media","canada","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"603",349,"cbc",39612,"https://twitter.com/abjust58/statuses/910336146697158657",2017-09-19 23:53:00,"abjust58","@stephen_taylor @ezralevant cbc rewrites everything trudeau says when you pay .b you demand something in return but reruns","Twitter for iPhone",7308,36,34,"Sat Jun 04 21:25:53 +0000 2016","i love sports and politics and waiting for honest media","canada","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"605",351,"cbc",69349,"https://twitter.com/aboutface/statuses/910286715247628290",2017-09-19 20:37:00,"aboutface","our #seebeyondmyface photo exhibit/campaign will be featured on @cbc @metromorning around :am tmrw! tune in!  https://t.co/vcbfhthi","Twitter Web Client",4731,667,1484,"Mon May 31 18:46:40 +0000 2010","at aboutface, our mission is to advocate on behalf of those touched by facial differences and to create a society that is accepting and welcoming of differences","toronto, ontario","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"606",351,"cbc",68797,"https://twitter.com/aboutface/statuses/910254035445235712",2017-09-19 18:27:00,"aboutface","our #seebeyondmyface photo exhibit/campaign is featured on @cbc @metromorning around :am tomorrow! tune in! #craniofacialawarenessmonth","Twitter Web Client",4731,667,1483,"Mon May 31 18:46:40 +0000 2010","at aboutface, our mission is to advocate on behalf of those touched by facial differences and to create a society that is accepting and welcoming of differences","toronto, ontario","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"615",359,"cbc",60869,"https://twitter.com/AC_EBonneau/statuses/909821998683115521",2017-09-18 13:50:00,"ac_ebonneau","rt @chriscgeraghty: @aircanada posts internal email exchange with @cbc . a ""reply all"" shows bias intentions from our once trusted canadian ","Twitter for Android",23,50,21,"Tue May 10 03:29:00 +0000 2016",NA,NA,"en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"617",361,"cbc",65566,"https://twitter.com/AccessCopyright/statuses/910128779183497216",2017-09-19 10:09:00,"accesscopyright","rt @cbcbooks: .@beckyblake_ is the winner of the  @cbc nonfiction prize! https://t.co/twvszqzmcj","Twitter Web Client",11152,3967,4176,"Mon Jun 04 17:46:53 +0000 2012","we facilitate remixing and sharing of content for educational and professional purposes while also ensuring that the original creators and publishers benefit.","toronto, on","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"624",366,"icbc",105863,"https://twitter.com/AceK9Saanich/statuses/910296564844830720",2017-09-19 21:16:00,"acek9saanich","rt @surreyrcmp: surrey rcmp launch school zone safety campaign with help from @surrey_schools @icbc @preventcrimes https://t.co/qfszyjowy ","Twitter for Android",5108,1468,1476,"Thu Nov 22 22:55:36 +0000 2012","ace is the saanich police mascot! named after our championship german shepherd who served -, ace is available for community events. ace@saanichpolice.ca",NA,"en","source","CBC","Quebec","Quebec","Canada","CBC",1,0,1
"625",366,"icbc",32826,"https://twitter.com/AceK9Saanich/statuses/910296564844830720",2017-09-19 21:16:00,"acek9saanich","rt @surreyrcmp: surrey rcmp launch school zone safety campaign with help from @surrey_schools @icbc @preventcrimes https://t.co/qfszyjowy ","Twitter for Android",5108,1468,1476,"Thu Nov 22 22:55:36 +0000 2012","ace is the saanich police mascot! named after our championship german shepherd who served -, ace is available for community events. ace@saanichpolice.ca",NA,"en","source","CBC","Quebec","Quebec","Canada","CBC",1,0,1
"627",368,"cbc",6355,"https://twitter.com/achudder/statuses/910152661974110209",2017-09-19 11:44:00,"achudder","rt @cbckatie: trudeau says he wouldn\'t let other countries dictate how canada lets people into the country, won\'t tell the us how it should ","Twitter for Android",306,329,74,"Sat Apr 25 13:04:48 +0000 2015","president of york centurions american football club.  yr old canadian studying law in the uk. a passion for food, travel, and adventure.",NA,"en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"661",377,"cbc",65486,"https://twitter.com/action_canada/statuses/910131638553759744",2017-09-19 10:21:00,"action_canada","the \'daddy\' problem: when children of two-mother families start asking where dad is https://t.co/ywxexrwvpk #lgbtq #parenting #srhr @cbc","Twitter Web Client",5203,1795,2222,"Wed Sep 10 20:17:51 +0000 2014","action canada for sexual health and rights is a progressive, pro-choice charitable organization committed to sexual health and rights in canada and globally","ottawa, canada","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"668",380,"heartlandoncbc",67455,"https://twitter.com/ACTRA_Alberta/statuses/910200659378454528",2017-09-19 14:55:00,"actra_alberta","rt @heartlandoncbc: here you go fans. lots more of this come sunday when season  premieres at ;pm on @cbc                                                 #iloveheartland @graham ","Twitter Web Client",864,505,1159,"Thu Dec 08 19:56:51 +0000 2011","actra alberta is a local branch of the alliance of canadian cinema, television and radio artists representing , professional performers across canada.","canada","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"670",382,"radiocanadainfo",91860,"https://twitter.com/Actus_Medias/statuses/910199814729629696",2017-09-19 14:52:00,"actus_medias","rt @cavafaireparler: une commission sur le racisme systémique bien équitable, faite moi donc rire!    @radiocanadainfo @lp_lapresse @tvanou ","Twitter for iPhone",930,554,276,"Thu Sep 01 03:44:25 +0000 2016",NA,NA,"fr","person","CBC","Canada","Canada","Canada","CBC",1,0,1
"671",383,"cbc",42094,"https://twitter.com/AD_As3ad/statuses/910350891907260419",2017-09-20 00:52:00,"ad_as3ad","rt @cbcalerts: update from @cbcsteve: queen rania of jordan introduces pm justin trudeau at atlantic council\'s global citizen awards in new ","Twitter for iPhone",51056,346,14900,"Tue Dec 28 20:31:34 +0000 2010","phd student & research assistant  retweet endorsement","kuwait - montréal","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"693",389,"cbc",10705,"https://twitter.com/AdamBryk/statuses/910174162295181312",2017-09-19 13:10:00,"adambryk","@cbckamloops @dherbertcbc fair enough. i would prefer the rcmp keep the exact place a secret, people need a slap on the wrist sometimes!","Twitter Web Client",1937,246,116,"Sat Feb 14 22:33:13 +0000 2009","loving the danforth, our rivers, our city.  cpa by day, enjoy the arts by night.  nature to rejuvenate.","toronto","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"713",402,"radiocanadainfo",40233,"https://twitter.com/adele_demers/statuses/910332748199530497",2017-09-19 23:40:00,"adele_demers","rt @radiocanadainfo: que fait le gouvernement trudeau pour protéger les industries culturelles? https://t.co/ggbenhyln","Twitter for iPhone",213,84,56,"Mon Sep 12 23:16:32 +0000 2016","relations publiques et communication - université d\'ottawa","canada","fr","person","CBC","Canada","Canada","Canada","CBC",1,0,1
"728",416,"thecurrentcbc",84041,"https://twitter.com/adpnoble/statuses/910258612760666118",2017-09-19 18:45:00,"adpnoble","rt @thecurrentcbc: open letter signed by  doctors supports federal government tax changes. @ritikagoelto and @brennavelker debate. https ","Twitter Web Client",7880,668,496,"Thu Feb 12 14:53:10 +0000 2009","health policy advocate with plenty of points on politics.","toronto","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"735",422,"cbc",64110,"https://twitter.com/adrianojcorreia/statuses/909945466690969601",2017-09-18 22:01:00,"adrianojcorreia","more propaganda from @cbc #censorship https://t.co/shyrxzr","Twitter Web Client",69,116,16,"Thu Oct 23 02:17:18 +0000 2014",NA,"toronto","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"737",424,"cbc",3634,"https://twitter.com/AdrienneLambCBC/statuses/910136534866698240",2017-09-19 10:40:00,"adriennelambcbc","rt @cbcedmonton: reports of crystal-meth use in alberta nearly triple in five years, ahs says https://t.co/eegbcajrn https://t.co/hlcrkbs ","Twitter for iPhone",7185,884,2215,"Wed Jan 04 23:10:03 +0000 2012","mom, wife, struggling chef & the host/producer of our edmonton. fun show about #yeg on saturday at am/sunday & monday at am on cbc tv adrienne.lamb@cbc.ca","edmonton, ab","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"744",430,"cbc",9481,"https://twitter.com/advisoranalyst/statuses/910167161800396800",2017-09-19 12:42:00,"advisoranalyst","rt @cbcpolitics: conservative leader on business tax hike live https://t.co/oajgxrfhu #hw #cdnpoli https://t.co/ilyqrlwg","Twitter for iPhone",27007,635,1651,"Sat Aug 16 16:27:54 +0000 2008","investment analysis and opinion","toronto, canada","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
